bridge_id,name,latitude,longitude,clearance_inches,confidence,road_name,direction,incident_count,last_verified,data_source,warnings
bridge_001,11 Foot 8 Bridge,35.9940,-78.9103,140,1.0,Gregson Street,southbound,150,2024-10-15,infamous,"Known problem bridge;150+ documented strikes;Commonly called Can Opener"
bridge_002,Storrow Drive Bridge 1,42.3601,-71.0942,126,1.0,Storrow Drive,westbound,89,2024-09-20,incident_database,"Commercial vehicles prohibited;GPS often routes incorrectly;Frequent strikes"
bridge_003,Storrow Drive Bridge 2,42.3615,-71.0875,126,1.0,Storrow Drive,westbound,67,2024-09-20,incident_database,"Commercial vehicles prohibited;Part of Storrow problem area"
bridge_004,Storrow Drive Bridge 3,42.3628,-71.0802,126,1.0,Storrow Drive,westbound,54,2024-09-20,incident_database,"Commercial vehicles prohibited;Last of Storrow bridges"
bridge_005,Tobin Bridge,42.3875,-71.0558,168,0.95,I-93,northbound,0,2024-08-15,MassDOT_official,"Well-maintained;No incidents"
bridge_006,I-95 Overpass Mile 45,42.1234,-71.2345,174,0.90,I-95,southbound,0,2024-07-10,MassDOT_official,"Standard clearance;Safe"
bridge_007,Route 128 Bridge,42.2345,-71.1234,180,0.90,Route 128,eastbound,0,2024-06-22,MassDOT_official,"High clearance;Very safe"
bridge_008,I-93 Tight Bridge,42.4567,-71.3456,170,0.85,I-93,southbound,3,2023-11-30,MassDOT_official,"Marginal clearance;Recent resurfacing;Watch for potholes"
bridge_009,Highway 1 Overpass,42.5678,-71.4567,168,0.80,Highway 1,northbound,1,2023-05-15,crowdsourced,"Tight clearance;One reported incident"
bridge_010,I-90 Entrance Bridge,42.3500,-71.0700,192,0.95,I-90,westbound,0,2024-08-01,MassDOT_official,"Excellent clearance;No concerns"
bridge_011,Memorial Drive Bridge,42.3581,-71.0967,132,0.90,Memorial Drive,eastbound,12,2024-04-18,city_records,"Low clearance;Residential area;Watch for trucks"
bridge_012,Brooklyn-Queens Expressway,40.6782,-73.9442,138,0.85,BQE,northbound,23,2024-03-22,NYDOT,"Known problem area;Frequent commercial traffic"
bridge_013,Van Wyck Expressway,40.6895,-73.8231,156,0.88,Van Wyck,southbound,5,2024-07-30,NYDOT,"Moderate clearance"
bridge_014,George Washington Bridge,40.8517,-73.9527,192,0.98,I-95,northbound,0,2024-09-12,Port_Authority,"Major bridge;High clearance"
bridge_015,Lincoln Tunnel Approach,40.7614,-74.0055,162,0.92,Route 495,westbound,2,2024-06-08,Port_Authority,"Tunnel approach;Adequate clearance"